"","...1","...2","file_id","date","newspaper_name","newspaper_city","newspaper_state","URL","sn","year","month","day","edition","news_address","has_article_highlights","last_modified","num_annotations","flag_irrelevant","flag_bad_layout","flag_other","last_modified_by","last_modified_by_name","newspaper_state_clean"
"46507",46507,46507,68749,1899-11-23,"Deseret evening news","Great Salt Lake",NA,"https://articleextractor.org/pages//68749/uuml_iavaroni_ver01/sn83045555/1899/11/23/ed-1/seq-4/0?user_id=6","sn83045555",1899,"11","23","ed-1","Great Salt Lake, NA",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,NA
"46508",46508,46508,68751,1916-06-17,"The Ogden standard","Ogden City","Uta 1913-1920","https://articleextractor.org/pages//68751/uuml_indurain_ver01/sn85058396/1916/06/17/ed-1/seq-3/0?user_id=6","sn85058396",1916,"06","17","ed-1","Ogden City,  Uta 1913-1920",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46509",46509,46509,68752,1916-02-25,"The Ogden standard","Ogden City","Uta 1913-1920","https://articleextractor.org/pages//68752/uuml_indurain_ver01/sn85058396/1916/02/25/ed-1/seq-5/0?user_id=6","sn85058396",1916,"02","25","ed-1","Ogden City,  Uta 1913-1920",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46510",46510,46510,68753,1917-06-08,"The Ogden standard","Ogden City","Uta 1913-1920","https://articleextractor.org/pages//68753/uuml_indurain_ver01/sn85058396/1917/06/08/ed-1/seq-12/0?user_id=6","sn85058396",1917,"06","08","ed-1","Ogden City,  Uta 1913-1920",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46511",46511,46511,68754,1915-08-21,"The Ogden standard","Ogden City","Uta 1913-1920","https://articleextractor.org/pages//68754/uuml_indurain_ver01/sn85058396/1915/08/21/ed-1/seq-10/0?user_id=6","sn85058396",1915,"08","21","ed-1","Ogden City,  Uta 1913-1920",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46512",46512,46512,68755,1916-09-21,"The Ogden standard","Ogden City","Uta 1913-1920","https://articleextractor.org/pages//68755/uuml_indurain_ver01/sn85058396/1916/09/21/ed-1/seq-1/0?user_id=6","sn85058396",1916,"09","21","ed-1","Ogden City,  Uta 1913-1920",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46513",46513,46513,68756,1917-06-28,"The Ogden standard","Ogden City","Uta 1913-1920","https://articleextractor.org/pages//68756/uuml_indurain_ver01/sn85058396/1917/06/28/ed-1/seq-4/0?user_id=6","sn85058396",1917,"06","28","ed-1","Ogden City,  Uta 1913-1920",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46514",46514,46514,68758,1917-07-28,"The Ogden standard","Ogden City","Uta 1913-1920","https://articleextractor.org/pages//68758/uuml_indurain_ver01/sn85058396/1917/07/28/ed-1/seq-19/0?user_id=6","sn85058396",1917,"07","28","ed-1","Ogden City,  Uta 1913-1920",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46515",46515,46515,68759,1917-08-02,"The Ogden standard","Ogden City","Uta 1913-1920","https://articleextractor.org/pages//68759/uuml_indurain_ver01/sn85058396/1917/08/02/ed-1/seq-1/0?user_id=6","sn85058396",1917,"08","02","ed-1","Ogden City,  Uta 1913-1920",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46516",46516,46516,68760,1890-05-17,"Deseret evening news","Great Salt Lake",NA,"https://articleextractor.org/pages//68760/uuml_james_ver01/sn83045555/1890/05/17/ed-1/seq-6/0?user_id=6","sn83045555",1890,"05","17","ed-1","Great Salt Lake, NA",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,NA
