"","...1","...2","file_id","date","newspaper_name","newspaper_city","newspaper_state","URL","sn","year","month","day","edition","news_address","has_article_highlights","last_modified","num_annotations","flag_irrelevant","flag_bad_layout","flag_other","last_modified_by","last_modified_by_name","newspaper_state_clean"
"1",1,1,0,1893-12-11,"Alexandria gazette","Alexandria","D.C","https://articleextractor.org/pages//0/vi_quartz_ver01/sn85025007/1893/12/11/ed-1/seq-2/0?user_id=6","sn85025007",1893,"12","11","ed-1","Alexandria,  D.C",0,2023-07-31 20:06:24,0,0,1,0,6,"Rob Wells","DC"
"2",2,2,1,1898-03-29,"Willmar tribune","Willmar","Minn","https://articleextractor.org/pages//1/mnhi_edsel_ver01/sn89081022/1898/03/29/ed-1/seq-2/0?user_id=6","sn89081022",1898,"03","29","ed-1","Willmar,  Minn",0,2023-01-23 21:02:58,1,0,0,0,0,"null","MN"
"3",3,3,2,1898-11-09,"The Saint Paul globe.","St. Paul","Minn","https://articleextractor.org/pages//2/mnhi_hallock_ver01/sn90059523/1898/11/09/ed-1/seq-6/0?user_id=6","sn90059523",1898,"11","09","ed-1","St. Paul,  Minn",0,2023-01-23 21:02:58,1,0,0,0,0,"null","MN"
"4",4,4,3,1898-01-05,"Arizona republican","Phoenix","Ariz","https://articleextractor.org/pages//3/az_elk_ver01/sn84020558/1898/01/05/ed-1/seq-1/0?user_id=6","sn84020558",1898,"01","05","ed-1","Phoenix,  Ariz",0,2023-01-23 21:02:58,1,0,0,0,0,"null","AZ"
"5",5,5,4,1898-05-26,"The Wichita daily eagle","Wichita","Kan","https://articleextractor.org/pages//4/khi_kurtis_ver01/sn82014635/1898/05/26/ed-1/seq-2/0?user_id=6","sn82014635",1898,"05","26","ed-1","Wichita,  Kan",0,2023-01-23 21:02:58,1,0,0,0,0,"null","KS"
"6",6,6,5,1898-12-31,"The times","Washington",NA,"https://articleextractor.org/pages//5/dlc_harry_ver01/sn85054468/1898/12/31/ed-1/seq-3/0?user_id=6","sn85054468",1898,"12","31","ed-1","Washington , NA",0,2023-08-09 14:55:22,0,1,0,0,9,"Generic User 3",NA
"7",7,7,6,1898-01-08,"Macon beacon","Macon","Miss","https://articleextractor.org/pages//6/msar_applejack_ver01/sn83016943/1898/01/08/ed-1/seq-1/0?user_id=6","sn83016943",1898,"01","08","ed-1","Macon,  Miss",0,2023-01-23 21:02:58,1,0,0,0,0,"null","MS"
"8",8,8,7,1898-05-05,"The Topeka state journal","Topeka","Kansa","https://articleextractor.org/pages//7/khi_jesse_ver01/sn82016014/1898/05/05/ed-1/seq-2/0?user_id=6","sn82016014",1898,"05","05","ed-1","Topeka,  Kansa",0,2023-08-09 15:13:44,0,1,0,0,9,"Generic User 3","KS"
"9",9,9,8,1899-07-21,"The Chanute times","Chanute","Kan","https://articleextractor.org/pages//8/khi_isabel_ver01/sn85030529/1899/07/21/ed-1/seq-2/0?user_id=6","sn85030529",1899,"07","21","ed-1","Chanute,  Kan",0,2023-01-23 21:02:58,1,0,0,0,0,"null","KS"
"10",10,10,9,1899-03-24,"The Wichita daily eagle","Wichita","Kan","https://articleextractor.org/pages//9/khi_kurtis_ver01/sn82014635/1899/03/24/ed-1/seq-1/0?user_id=6","sn82014635",1899,"03","24","ed-1","Wichita,  Kan",0,2023-01-23 21:02:58,2,0,0,0,0,"null","KS"
"11",11,11,10,1899-06-30,"The Newtown bee.","Newtown","Conn","https://articleextractor.org/pages//10/ct_maple_ver01/sn92051487/1899/06/30/ed-1/seq-9/0?user_id=6","sn92051487",1899,"06","30","ed-1","Newtown,  Conn",0,2023-08-09 15:30:19,0,1,0,0,9,"Generic User 3","CT"
"12",12,12,11,1899-05-29,"The times","Washington",NA,"https://articleextractor.org/pages//11/dlc_franklin_ver01/sn85054468/1899/05/29/ed-1/seq-4/0?user_id=6","sn85054468",1899,"05","29","ed-1","Washington , NA",0,2023-08-09 15:31:21,0,1,0,0,9,"Generic User 3",NA
"13",13,13,12,1899-06-15,"The news & observer","Raleigh","N.C","https://articleextractor.org/pages//12/ncu_griffin_ver01/sn85042104/1899/06/15/ed-1/seq-2/0?user_id=6","sn85042104",1899,"06","15","ed-1","Raleigh,  N.C",0,2023-01-23 21:02:58,1,0,0,0,0,"null","NC"
"14",14,14,13,1899-03-25,"Daily Kennebec journal","Augusta","Me","https://articleextractor.org/pages//13/me_jackman_ver02/sn82014248/1899/03/25/ed-1/seq-6/0?user_id=6","sn82014248",1899,"03","25","ed-1","Augusta,  Me",0,2023-01-23 21:02:58,1,0,0,0,0,"null","ME"
"15",15,15,14,1899-07-27,"The Daily Ardmoreite","Ardmore","Okla","https://articleextractor.org/pages//14/okhi_avocado_ver01/sn85042303/1899/07/27/ed-1/seq-1/0?user_id=6","sn85042303",1899,"07","27","ed-1","Ardmore,  Okla",0,2023-01-23 21:02:58,1,0,0,0,0,"null","OK"
"16",16,16,15,1898-09-17,"Richmond planet","Richmond","Va","https://articleextractor.org/pages//15/vi_yes_ver01/sn84025841/1898/09/17/ed-1/seq-4/0?user_id=6","sn84025841",1898,"09","17","ed-1","Richmond,  Va",0,2023-01-23 21:02:58,2,0,0,0,0,"null","VA"
"17",17,17,16,1899-03-28,"The Pacific commercial advertiser","Honolulu","Hawaiian Island 1885-1921","https://articleextractor.org/pages//16/hihouml_desdemona_ver03/sn85047084/1899/03/28/ed-1/seq-1/0?user_id=6","sn85047084",1899,"03","28","ed-1","Honolulu,  Hawaiian Island 1885-1921",0,2023-08-09 18:05:13,0,1,0,0,9,"Generic User 3","HI"
"18",18,18,17,1899-05-23,"El Paso daily herald.","El Paso","Tex","https://articleextractor.org/pages//17/txdn_gmc_ver02/sn86064199/1899/05/23/ed-1/seq-1/0?user_id=6","sn86064199",1899,"05","23","ed-1","El Paso,  Tex",0,2023-01-23 21:02:58,2,0,0,0,0,"null","TX"
"19",19,19,18,1898-12-09,"The semi-weekly messenger","Wilmington","N.C","https://articleextractor.org/pages//18/ncu_green_ver01/sn91068367/1898/12/09/ed-1/seq-8/0?user_id=6","sn91068367",1898,"12","09","ed-1","Wilmington,  N.C",0,2023-01-23 21:02:58,1,0,0,0,0,"null","NC"
"20",20,20,19,1899-01-11,"The leader","Brookhaven","Mis","https://articleextractor.org/pages//19/msar_agate_ver01/sn86074063/1899/01/11/ed-1/seq-2/0?user_id=6","sn86074063",1899,"01","11","ed-1","Brookhaven,  Mis",0,2023-01-23 21:02:58,1,0,0,0,0,"null","MS"
"21",21,21,20,1899-05-24,"The Portland daily press","Portland","Me","https://articleextractor.org/pages//20/me_jonesport_ver02/sn83016025/1899/05/24/ed-1/seq-2/0?user_id=6","sn83016025",1899,"05","24","ed-1","Portland,  Me",0,2023-01-23 21:02:58,1,0,0,0,0,"null","ME"
"22",22,22,21,1898-05-07,"The Grenada sentinel","Grenada","Miss","https://articleextractor.org/pages//21/msar_eyelet_ver02/sn85034375/1898/05/07/ed-1/seq-4/0?user_id=6","sn85034375",1898,"05","07","ed-1","Grenada,  Miss",0,2023-01-23 21:02:58,1,0,0,0,0,"null","MS"
"23",23,23,22,1899-08-08,"Little Falls weekly transcript.","Little Falls","M","https://articleextractor.org/pages//22/mnhi_neon_ver01/sn89064526/1899/08/08/ed-1/seq-8/0?user_id=6","sn89064526",1899,"08","08","ed-1","Little Falls,  M",0,2023-01-23 21:02:58,1,0,0,0,0,"null","MN"
"24",24,24,23,1898-06-06,"Barre evening telegram.","Barre","Vt","https://articleextractor.org/pages//23/vtu_green_ver02/sn98060035/1898/06/06/ed-1/seq-1/0?user_id=6","sn98060035",1898,"06","06","ed-1","Barre,  Vt",0,2023-01-23 21:02:58,1,0,0,0,0,"null","VT"
"25",25,25,24,1899-07-11,"The Madison daily leader","Madison","S.D","https://articleextractor.org/pages//24/sdhi_eigg_ver01/sn99062034/1899/07/11/ed-1/seq-4/0?user_id=6","sn99062034",1899,"07","11","ed-1","Madison,  S.D",0,2023-01-23 21:02:58,1,0,0,0,0,"null","SD"
"26",26,26,25,1898-11-24,"The times","Richmond","Va","https://articleextractor.org/pages//25/vi_vanhalen_ver01/sn85034438/1898/11/24/ed-1/seq-7/0?user_id=6","sn85034438",1898,"11","24","ed-1","Richmond,  Va",0,2023-01-23 21:02:58,1,0,0,0,0,"null","VA"
"27",27,27,26,1898-03-28,"Vilas County news","Eagle River","Vi","https://articleextractor.org/pages//26/whi_bobidosh_ver01/sn85040613/1898/03/28/ed-1/seq-6/0?user_id=6","sn85040613",1898,"03","28","ed-1","Eagle River,  Vi",0,2023-01-23 21:02:58,1,0,0,0,0,"null","WI"
"28",28,28,27,1898-01-04,"The Topeka state journal","Topeka","Kansa","https://articleextractor.org/pages//27/khi_jesse_ver01/sn82016014/1898/01/04/ed-1/seq-4/0?user_id=6","sn82016014",1898,"01","04","ed-1","Topeka,  Kansa",0,2023-08-09 18:36:08,0,1,0,0,9,"Generic User 3","KS"
"29",29,29,28,1898-11-12,"Bryan morning eagle","Bryan","Tex","https://articleextractor.org/pages//28/txdn_infiniti_ver03/sn86088652/1898/11/12/ed-1/seq-2/0?user_id=6","sn86088652",1898,"11","12","ed-1","Bryan,  Tex",0,2023-01-23 21:02:58,1,0,0,0,0,"null","TX"
"30",30,30,29,1898-01-06,"Warren sheaf","Warren","Marshal","https://articleextractor.org/pages//29/mnhi_orr_ver01/sn90059228/1898/01/06/ed-1/seq-2/0?user_id=6","sn90059228",1898,"01","06","ed-1","Warren,  Marshal",0,2023-01-23 21:02:58,1,0,0,0,0,"null","MS"
"31",31,31,30,1898-01-12,"New Ulm review.","New Ulm","Brown","https://articleextractor.org/pages//30/mnhi_audi_ver01/sn89081128/1898/01/12/ed-1/seq-2/0?user_id=6","sn89081128",1898,"01","12","ed-1","New Ulm,  Brown",0,2023-01-23 21:02:58,1,0,0,0,0,"null","MN"
"32",32,32,31,1899-05-25,"The Mena star.","Mena","Ark","https://articleextractor.org/pages//31/arhi_electabuzz_ver01/sn89051214/1899/05/25/ed-1/seq-1/0?user_id=6","sn89051214",1899,"05","25","ed-1","Mena,  Ark",0,2023-01-23 21:02:58,1,0,0,0,0,"null","AR"
"33",33,33,32,1898-07-22,"The Kinsley graphic","Kinsley","Kan","https://articleextractor.org/pages//32/khi_douglas_ver01/sn84029671/1898/07/22/ed-1/seq-2/0?user_id=6","sn84029671",1898,"07","22","ed-1","Kinsley,  Kan",0,2023-01-23 21:02:58,1,0,0,0,0,"null","KS"
"34",34,34,33,1899-09-15,"The Wichita daily eagle","Wichita","Kan","https://articleextractor.org/pages//33/khi_kurtis_ver01/sn82014635/1899/09/15/ed-1/seq-4/0?user_id=6","sn82014635",1899,"09","15","ed-1","Wichita,  Kan",0,2023-08-09 18:43:42,0,1,0,0,9,"Generic User 3","KS"
"35",35,35,34,1898-05-27,"The Salt Lake herald","Salt Lake City",NA,"https://articleextractor.org/pages//34/uuml_collins_ver01/sn85058130/1898/05/27/ed-1/seq-6/0?user_id=6","sn85058130",1898,"05","27","ed-1","Salt Lake City , NA",0,2023-01-23 21:02:58,2,0,0,0,0,"null",NA
"36",36,36,35,1898-06-06,"Orleans County monitor","Barton","Vt","https://articleextractor.org/pages//35/vtu_middlebury_ver01/sn84022871/1898/06/06/ed-1/seq-8/0?user_id=6","sn84022871",1898,"06","06","ed-1","Barton,  Vt",0,2023-01-23 21:02:58,1,0,0,0,0,"null","VT"
"37",37,37,36,1898-06-04,"Red Lodge picket","Red Lodge","Mont","https://articleextractor.org/pages//36/mthi_moose_ver01/sn84036276/1898/06/04/ed-1/seq-1/0?user_id=6","sn84036276",1898,"06","04","ed-1","Red Lodge,  Mont",0,2023-01-23 21:02:58,1,0,0,0,0,"null","MT"
"38",38,38,37,1899-08-01,"Deseret evening news","Great Salt Lake",NA,"https://articleextractor.org/pages//37/uuml_hornacek_ver01/sn83045555/1899/08/01/ed-1/seq-4/0?user_id=6","sn83045555",1899,"08","01","ed-1","Great Salt Lake, NA",0,2023-08-10 14:08:52,0,1,0,0,9,"Generic User 3",NA
"39",39,39,38,1898-06-30,"The Hocking sentinel","Logan","Ohi","https://articleextractor.org/pages//38/ohi_delta_ver01/sn85038119/1898/06/30/ed-1/seq-2/0?user_id=6","sn85038119",1898,"06","30","ed-1","Logan,  Ohi",0,2023-01-23 21:02:58,1,0,0,0,0,"null","OH"
"40",40,40,39,1899-12-15,"The McCook tribune.","McCook","Neb","https://articleextractor.org/pages//39/nbu_indianola_ver01/sn94056415/1899/12/15/ed-1/seq-6/0?user_id=6","sn94056415",1899,"12","15","ed-1","McCook,  Neb",0,2023-08-10 14:13:06,0,1,0,0,9,"Generic User 3","NE"
"41",41,41,40,1899-11-17,"Vermont phœnix","Brattleboro","Vt","https://articleextractor.org/pages//40/vtu_eden_ver01/sn98060050/1899/11/17/ed-1/seq-6/0?user_id=6","sn98060050",1899,"11","17","ed-1","Brattleboro,  Vt",0,2023-01-23 21:02:58,1,0,0,0,0,"null","VT"
"42",42,42,41,1899-09-28,"Abilene weekly reflector","Abilene","Kan","https://articleextractor.org/pages//41/khi_lawrence_ver01/sn84029386/1899/09/28/ed-1/seq-8/0?user_id=6","sn84029386",1899,"09","28","ed-1","Abilene,  Kan",0,2023-01-23 21:02:58,1,0,0,0,0,"null","KS"
"43",43,43,42,1899-08-12,"The news & observer","Raleigh","N.C","https://articleextractor.org/pages//42/ncu_griffin_ver01/sn85042104/1899/08/12/ed-1/seq-2/0?user_id=6","sn85042104",1899,"08","12","ed-1","Raleigh,  N.C",0,2023-01-23 21:02:58,1,0,0,0,0,"null","NC"
"44",44,44,43,1899-08-12,"The Appeal","Saint Paul","Min","https://articleextractor.org/pages//43/mnhi_effie_ver01/sn83016810/1899/08/12/ed-1/seq-1/0?user_id=6","sn83016810",1899,"08","12","ed-1","Saint Paul,  Min",0,2023-08-10 14:22:07,0,1,0,0,9,"Generic User 3","MN"
"45",45,45,44,1898-06-18,"The sun","New York",NA,"https://articleextractor.org/pages//44/nn_qabbani_ver01/sn83030272/1898/06/18/ed-1/seq-4/0?user_id=6","sn83030272",1898,"06","18","ed-1","New York , NA",0,2023-01-23 21:02:58,1,0,0,0,0,"null",NA
"46",46,46,45,1898-12-15,"The gold leaf","Henderson","N.C","https://articleextractor.org/pages//45/ncu_haw_ver01/sn91068402/1898/12/15/ed-1/seq-3/0?user_id=6","sn91068402",1898,"12","15","ed-1","Henderson,  N.C",0,2023-08-10 14:32:39,0,1,0,0,9,"Generic User 3","NC"
"47",47,47,46,1899-08-25,"The Penn's Grove record","Penn's Grove","S","https://articleextractor.org/pages//46/njr_irene_ver02/sn85035524/1899/08/25/ed-1/seq-1/0?user_id=6","sn85035524",1899,"08","25","ed-1","Penn's Grove,  S",0,2023-01-23 21:02:58,1,0,0,0,0,"null","NJ"
"48",48,48,47,1896-08-13,"The Hope pioneer","Hope","N.D","https://articleextractor.org/pages//47/ndhi_argon_ver01/sn87096037/1896/08/13/ed-1/seq-2/0?user_id=6","sn87096037",1896,"08","13","ed-1","Hope,  N.D",0,2023-01-23 21:02:58,1,0,0,0,0,"null","ND"
"49",49,49,48,1899-12-31,"The Saint Paul globe.","St. Paul","Minn","https://articleextractor.org/pages//48/mnhi_nisswa_ver01/sn90059523/1899/12/31/ed-1/seq-3/0?user_id=6","sn90059523",1899,"12","31","ed-1","St. Paul,  Minn",0,2023-08-10 14:42:55,0,1,0,0,9,"Generic User 3","MN"
"50",50,50,49,1899-08-18,"Dakota farmers' leader.","Canton","S.D","https://articleextractor.org/pages//49/mnhi_volvo_ver01/sn00065127/1899/08/18/ed-1/seq-6/0?user_id=6","sn00065127",1899,"08","18","ed-1","Canton,  S.D",0,2023-01-23 21:02:58,1,0,0,0,0,"null","SD"
"51",51,51,50,1900-12-07,"The Nebraska advertiser.","Nemaha City","Ne","https://articleextractor.org/pages//50/nbu_gibson_ver01/2010270508/1900/12/07/ed-1/seq-4/0?user_id=6","2010270508",1900,"12","07","ed-1","Nemaha City,  Ne",0,2023-08-10 14:46:52,0,1,0,0,9,"Generic User 3","NE"
"52",52,52,51,1899-04-26,"Decorah public opinion.","Decorah","Winnes","https://articleextractor.org/pages//51/iahi_aerodactyl_ver01/sn87058235/1899/04/26/ed-1/seq-6/0?user_id=6","sn87058235",1899,"04","26","ed-1","Decorah,  Winnes",0,2023-01-23 21:02:58,1,0,0,0,0,"null","IA"
"53",53,53,52,1899-05-24,"Santa Fe new Mexican","Santa Fe","N.M","https://articleextractor.org/pages//52/nmu_fleming_ver01/sn84020630/1899/05/24/ed-1/seq-2/0?user_id=6","sn84020630",1899,"05","24","ed-1","Santa Fe,  N.M",0,2023-01-23 21:02:58,1,0,0,0,0,"null","NM"
"54",54,54,53,1898-11-19,"Pullman herald","Pullman","W.T. [","https://articleextractor.org/pages//53/wa_dogwood_ver01/sn88085488/1898/11/19/ed-1/seq-7/0?user_id=6","sn88085488",1898,"11","19","ed-1","Pullman,  W.T. [",0,2023-01-23 21:02:58,1,0,0,0,0,"null","WA"
"55",55,55,54,1899-07-21,"The sun","New York",NA,"https://articleextractor.org/pages//54/nn_rumi_ver01/sn83030272/1899/07/21/ed-1/seq-7/0?user_id=6","sn83030272",1899,"07","21","ed-1","New York , NA",0,2023-01-23 21:02:58,1,0,0,0,0,"null",NA
"56",56,56,55,1899-12-14,"West Virginia argus","Kingwood","W. Va","https://articleextractor.org/pages//55/wvu_floyd_ver01/sn86092245/1899/12/14/ed-1/seq-1/0?user_id=6","sn86092245",1899,"12","14","ed-1","Kingwood,  W. Va",0,2023-02-12 00:23:43,0,1,0,0,0,"null","WV"
"57",57,57,56,1899-10-28,"The Wheeling daily intelligencer","Wheeling","W. Va","https://articleextractor.org/pages//56/wvu_germany_ver01/sn84026844/1899/10/28/ed-1/seq-1/0?user_id=6","sn84026844",1899,"10","28","ed-1","Wheeling,  W. Va",0,2023-01-23 21:02:58,1,0,0,0,0,"null","WV"
"58",58,58,57,1899-11-11,"The Grenada sentinel","Grenada","Miss","https://articleextractor.org/pages//57/msar_eyelet_ver02/sn85034375/1899/11/11/ed-1/seq-2/0?user_id=6","sn85034375",1899,"11","11","ed-1","Grenada,  Miss",0,2023-01-23 21:02:58,1,0,0,0,0,"null","MS"
"59",59,59,58,1899-05-23,"The silver state","Unionville","Nev","https://articleextractor.org/pages//58/nvln_carlin_ver01/sn84022060/1899/05/23/ed-1/seq-1/0?user_id=6","sn84022060",1899,"05","23","ed-1","Unionville,  Nev",0,2023-01-23 21:02:58,1,0,0,0,0,"null","NV"
"60",60,60,59,1899-04-27,"River Falls journal","River Falls","Pi","https://articleextractor.org/pages//59/whi_hegmeister_ver01/sn85033255/1899/04/27/ed-1/seq-2/0?user_id=6","sn85033255",1899,"04","27","ed-1","River Falls,  Pi",0,2023-01-23 21:02:58,1,0,0,0,0,"null","WI"
"61",61,61,60,1899-11-01,"Adams County news","Ritzville","Wash","https://articleextractor.org/pages//60/wa_hoh_ver01/sn87093056/1899/11/01/ed-1/seq-1/0?user_id=6","sn87093056",1899,"11","01","ed-1","Ritzville,  Wash",0,2023-01-23 21:02:58,1,0,0,0,0,"null","WA"
"62",62,62,61,1899-06-29,"Eagle River review","Eagle River","Wi","https://articleextractor.org/pages//61/whi_arbutus_ver01/sn85040614/1899/06/29/ed-1/seq-2/0?user_id=6","sn85040614",1899,"06","29","ed-1","Eagle River,  Wi",0,2023-01-23 21:02:58,1,0,0,0,0,"null","WI"
"63",63,63,62,1899-01-13,"The Red Cloud chief","Red Cloud","Webs","https://articleextractor.org/pages//62/nbu_dunning_ver01/sn84022835/1899/01/13/ed-1/seq-3/0?user_id=6","sn84022835",1899,"01","13","ed-1","Red Cloud,  Webs",0,2023-01-23 21:02:58,1,0,0,0,0,"null","NE"
"64",64,64,63,1898-12-02,"Dakota farmers' leader.","Canton","S.D","https://articleextractor.org/pages//63/mnhi_volvo_ver01/sn00065127/1898/12/02/ed-1/seq-3/0?user_id=6","sn00065127",1898,"12","02","ed-1","Canton,  S.D",0,2023-01-23 21:02:58,1,0,0,0,0,"null","SD"
"65",65,65,64,1899-03-10,"The Canton times.","Canton","Miss","https://articleextractor.org/pages//64/msar_lightningbolt_ver03/sn86074075/1899/03/10/ed-1/seq-1/0?user_id=6","sn86074075",1899,"03","10","ed-1","Canton,  Miss",0,2023-08-10 15:31:58,0,1,0,0,9,"Generic User 3","MS"
"66",66,66,65,1899-11-26,"The Anaconda standard","Anaconda","Mont","https://articleextractor.org/pages//65/mthi_nuthatch_ver01/sn84036012/1899/11/26/ed-1/seq-1/0?user_id=6","sn84036012",1899,"11","26","ed-1","Anaconda,  Mont",0,2023-01-23 21:02:58,1,0,0,0,0,"null","MT"
"67",67,67,66,1899-08-16,"The Independent","Honolulu","H.I","https://articleextractor.org/pages//66/hihouml_butterfly_ver01/sn85047097/1899/08/16/ed-1/seq-3/0?user_id=6","sn85047097",1899,"08","16","ed-1","Honolulu,  H.I",0,2023-01-23 21:02:58,1,0,0,0,0,"null","HI"
"68",68,68,67,1899-05-02,"The broad ax","Salt Lake City",NA,"https://articleextractor.org/pages//67/iune_charlie_ver01/sn84024055/1899/05/02/ed-1/seq-1/0?user_id=6","sn84024055",1899,"05","02","ed-1","Salt Lake City,",0,2023-01-23 21:02:58,1,0,0,0,0,"null",NA
"69",69,69,68,1899-08-18,"The silver state","Unionville","Nev","https://articleextractor.org/pages//68/nvln_carlin_ver01/sn84022060/1899/08/18/ed-1/seq-2/0?user_id=6","sn84022060",1899,"08","18","ed-1","Unionville,  Nev",0,2023-08-10 17:46:30,0,1,0,0,9,"Generic User 3","NV"
"70",70,70,69,1899-06-19,"The Madison daily leader","Madison","S.D","https://articleextractor.org/pages//69/sdhi_eigg_ver01/sn99062034/1899/06/19/ed-1/seq-1/0?user_id=6","sn99062034",1899,"06","19","ed-1","Madison,  S.D",0,2023-01-23 21:02:58,1,0,0,0,0,"null","SD"
"71",71,71,70,1899-05-02,"The semi-weekly messenger","Wilmington","N.C","https://articleextractor.org/pages//70/ncu_green_ver01/sn91068367/1899/05/02/ed-1/seq-4/0?user_id=6","sn91068367",1899,"05","02","ed-1","Wilmington,  N.C",0,2023-01-23 21:02:58,1,0,0,0,0,"null","NC"
"72",72,72,71,1899-07-21,"The Mitchell capital.","Mitchell","Dakot","https://articleextractor.org/pages//71/sdhi_goshawk_ver03/sn2001063112/1899/07/21/ed-1/seq-3/0?user_id=6","sn2001063112",1899,"07","21","ed-1","Mitchell,  Dakot",0,2023-01-23 21:02:58,1,0,0,0,0,"null","SD"
"73",73,73,72,1899-07-13,"The Elbert County tribune","Elbert","Elbert","https://articleextractor.org/pages//72/cohi_jasper_ver01/sn90051300/1899/07/13/ed-1/seq-2/0?user_id=6","sn90051300",1899,"07","13","ed-1","Elbert,  Elbert",0,2023-01-23 21:02:58,1,0,0,0,0,"null","CO"
"74",74,74,73,1899-04-01,"Free press","Hays","Kan","https://articleextractor.org/pages//73/khi_douglas_ver01/sn84029696/1899/04/01/ed-1/seq-2/0?user_id=6","sn84029696",1899,"04","01","ed-1","Hays,  Kan",0,2023-01-23 21:02:58,1,0,0,0,0,"null","KS"
"75",75,75,74,1899-08-31,"The Houston daily post","Houston","Tex","https://articleextractor.org/pages//74/txdn_charlie_ver01/sn86071197/1899/08/31/ed-1/seq-4/0?user_id=6","sn86071197",1899,"08","31","ed-1","Houston,  Tex",0,2023-08-10 18:13:59,0,1,0,0,9,"Generic User 3","TX"
"76",76,76,75,1899-06-23,"Barton County democrat","Great Bend","Kan","https://articleextractor.org/pages//75/khi_finney_ver02/sn83040198/1899/06/23/ed-1/seq-2/0?user_id=6","sn83040198",1899,"06","23","ed-1","Great Bend,  Kan",0,2023-01-23 21:02:58,1,0,0,0,0,"null","KS"
"77",77,77,76,1899-07-28,"Deseret evening news","Great Salt Lake",NA,"https://articleextractor.org/pages//76/uuml_hornacek_ver01/sn83045555/1899/07/28/ed-1/seq-4/0?user_id=6","sn83045555",1899,"07","28","ed-1","Great Salt Lake, NA",0,2023-08-10 18:18:21,0,1,0,0,9,"Generic User 3",NA
"78",78,78,77,1899-12-05,"The Topeka state journal","Topeka","Kansa","https://articleextractor.org/pages//77/khi_jesse_ver01/sn82016014/1899/12/05/ed-1/seq-2/0?user_id=6","sn82016014",1899,"12","05","ed-1","Topeka,  Kansa",0,2023-01-23 21:02:58,1,0,0,0,0,"null","KS"
"79",79,79,78,1900-10-25,"The times","Richmond","Va","https://articleextractor.org/pages//78/vi_albion_ver01/sn85034438/1900/10/25/ed-1/seq-4/0?user_id=6","sn85034438",1900,"10","25","ed-1","Richmond,  Va",0,2023-08-10 18:27:46,0,0,1,0,9,"Generic User 3","VA"
"80",80,80,79,1899-05-16,"The Washington weekly post.","Washington","D.C","https://articleextractor.org/pages//79/dlc_echo_ver01/sn87062234/1899/05/16/ed-1/seq-5/0?user_id=6","sn87062234",1899,"05","16","ed-1","Washington,  D.C",0,2023-08-10 18:30:39,0,1,0,0,9,"Generic User 3","DC"
"81",81,81,80,1899-05-23,"Deseret evening news","Great Salt Lake",NA,"https://articleextractor.org/pages//80/uuml_hornacek_ver01/sn83045555/1899/05/23/ed-1/seq-1/0?user_id=6","sn83045555",1899,"05","23","ed-1","Great Salt Lake, NA",0,2023-01-23 21:02:58,1,0,0,0,0,"null",NA
"82",82,82,81,1900-04-17,"The times","Richmond","Va","https://articleextractor.org/pages//81/vi_albion_ver01/sn85034438/1900/04/17/ed-1/seq-1/0?user_id=6","sn85034438",1900,"04","17","ed-1","Richmond,  Va",0,2023-01-23 21:02:58,1,0,0,0,0,"null","VA"
"83",83,83,82,1899-08-12,"Free press","Hays","Kan","https://articleextractor.org/pages//82/khi_douglas_ver01/sn84029696/1899/08/12/ed-1/seq-2/0?user_id=6","sn84029696",1899,"08","12","ed-1","Hays,  Kan",0,2023-01-23 21:02:58,1,0,0,0,0,"null","KS"
"84",84,84,83,1899-11-04,"The Greenville times","Greenville","Mis","https://articleextractor.org/pages//83/msar_braeburn_ver01/sn85034374/1899/11/04/ed-1/seq-6/0?user_id=6","sn85034374",1899,"11","04","ed-1","Greenville,  Mis",0,2023-01-23 21:02:58,1,0,0,0,0,"null","MS"
"85",85,85,84,1900-10-19,"The Wheeling daily intelligencer","Wheeling","W. Va","https://articleextractor.org/pages//84/wvu_hungary_ver01/sn84026844/1900/10/19/ed-1/seq-1/0?user_id=6","sn84026844",1900,"10","19","ed-1","Wheeling,  W. Va",0,2023-01-23 21:02:58,1,0,0,0,0,"null","WV"
"86",86,86,85,1900-06-08,"The Hickman courier","Hickman","Ky","https://articleextractor.org/pages//85/kyu_kinks_ver01/sn85052141/1900/06/08/ed-1/seq-2/0?user_id=6","sn85052141",1900,"06","08","ed-1","Hickman,  Ky",0,2023-01-23 21:02:58,1,0,0,0,0,"null","KY"
"87",87,87,86,1900-03-23,"Perrysburg journal.","Perrysburg","Woo","https://articleextractor.org/pages//86/ohi_foxtrot_ver01/sn87076843/1900/03/23/ed-1/seq-2/0?user_id=6","sn87076843",1900,"03","23","ed-1","Perrysburg,  Woo",0,2023-01-23 21:02:58,1,0,0,0,0,"null","OH"
"88",88,88,87,1900-08-29,"Richmond dispatch","Richmond","Va","https://articleextractor.org/pages//87/vi_darwin_ver01/sn85038614/1900/08/29/ed-1/seq-6/0?user_id=6","sn85038614",1900,"08","29","ed-1","Richmond,  Va",0,2023-01-23 21:02:58,1,0,0,0,0,"null","VA"
"89",89,89,88,1900-12-27,"The gold leaf","Henderson","N.C","https://articleextractor.org/pages//88/ncu_haw_ver01/sn91068402/1900/12/27/ed-1/seq-2/0?user_id=6","sn91068402",1900,"12","27","ed-1","Henderson,  N.C",0,2023-01-23 21:02:58,1,0,0,0,0,"null","NC"
